Level1,Level2,Level3,Counts,Reviews
"Groceries, Media & Pets",Makanan & Minuman,Bahan Masakan & Kue,5032,2169
"Groceries, Media & Pets",Makanan & Minuman,Makanan Ringan,5678,1595
"Groceries, Media & Pets",Pet Shop,Reptil,370,3
"Groceries, Media & Pets",Pet Shop,Kucing,72924,3182
"Groceries, Media & Pets",Pet Shop,Anjing,409978,535
"Groceries, Media & Pets",Pet Shop,Burung,3395,128
"Groceries, Media & Pets",Pet Shop,Ikan & Aquarium,18042,-1
"Groceries, Media & Pets",Pet Shop,Hewan Kecil,8984,-1
Olahraga & Travel,Tas Pria,Dompet & Aksesori,203249,18644
Olahraga & Travel,Tas Pria,Tas Ransel,163015,-1
Olahraga & Travel,Tas Pria,Tas Selempang,70775,-1
Olahraga & Travel,Tas Pria,Tas Laptop Bahu,46457,3411
Olahraga & Travel,Olahraga & Outdoor,Latihan & Fitnes,139079,6296
Olahraga & Travel,Olahraga & Outdoor,Olahraga Tim,84409,3100
Olahraga & Travel,Olahraga Raket,Tenis,3250,105
Olahraga & Travel,Olahraga Raket,Pria,507434,16646
Olahraga & Travel,Olahraga Raket,Wanita,168840,4914
Olahraga & Travel,Olahraga Raket,Anak Laki-laki,7995,385
Olahraga & Travel,Olahraga Raket,Bulutangkis,11915,956
Olahraga & Travel,Olahraga Raket,Tenis Meja,3737,-1
Olahraga & Travel,Olahraga Raket,Anak Perempuan,7570,55
Olahraga & Travel,Tas Wanita,Tas Ransel,547481,11632
Olahraga & Travel,Tas Wanita,Tote Bag Wanita,147636,9571
Olahraga & Travel,Tas Wanita,Dompet & Aksesori,351709,14048
Olahraga & Travel,Tas Wanita,Tas Selempang & Bahu Wanita,672465,-1
Olahraga & Travel,Tas Anak,,53034,8617
Olahraga & Travel,Tas Travel,Aksesoris Travel,137745,6039
Olahraga & Travel,Tas Travel,Tas & Pelindung Laptop,112817,18941
Olahraga & Travel,Tas Travel,Koper,8518,-1
Olahraga & Travel,Aksesoris,Masker Polusi,17873,1642
Olahraga & Travel,Aksesoris,Botol Minum Olahraga,35360,704
Olahraga & Travel,Olahraga Rekreasi,Skuter,508,209
Olahraga & Travel,Olahraga Rekreasi,Memancing,128986,-1
Olahraga & Travel,Olahraga Rekreasi,Renang,48083,-1
Olahraga & Travel,Olahraga Rekreasi,Inline & Roller Skate,5617,2302
Olahraga & Travel,Olahraga Rekreasi,Olahraga Sepeda,183484,-1
Olahraga & Travel,Olahraga Rekreasi,Camping & Hiking,145632,11698
Olahraga & Travel,Olahraga Rekreasi,Diving & Snorkeling,22160,-1
Olahraga & Travel,Olahraga Rekreasi,Olahraga Skateboard,3725,459
Elektronik,"TV, A/V, Gaming & Wearables",Aksesoris Berteknologi,485247,14395
Elektronik,"TV, A/V, Gaming & Wearables",Televisi,2977,4823
Elektronik,"TV, A/V, Gaming & Wearables",Peralatan Audio ,451087,39459
Elektronik,"TV, A/V, Gaming & Wearables",Video,50990,2938
Elektronik,"TV, A/V, Gaming & Wearables",Lazada Vape Store,12380,-1
Elektronik,Handphone & Tablet,Handphone,27236,37912
Elektronik,Handphone & Tablet,Aksesoris,4792811,7123
Elektronik,Handphone & Tablet,Tablet,2565,902
Elektronik,Kamera,Kamera Instan,2838,394
Elektronik,Kamera, DSLR,4315,686
Elektronik,Kamera,Kamera Keamanan & Gadget,592143,-1
Elektronik,Kamera, Kamera Mirrorless,1620,596
Elektronik,Kamera,Aksesoris Kamera,457080,28747
Elektronik,Kamera,Drone,2218,1279
Elektronik,Kamera,Kamera Video & Aksi,50522,3433
Elektronik,Kamera,Kamera Saku,1714,668
Elektronik,Kamera,Kamera Prosumer,278,-1
Elektronik,Komputer & Laptop,Laptop,10321,-1
Elektronik,Komputer & Laptop,Aksesoris Komputer,677045,27906
Peralatan Rumah Tangga,Bath & Bedding,Perlengkapan Kamar Tidur,252546,-1
Peralatan Rumah Tangga,Bath & Bedding,Peralatan Mandi,128509,7554
Peralatan Rumah Tangga,Elektronik Rumah ,AC,3066,970
Peralatan Rumah Tangga,Elektronik Rumah ,Kipas Angin,6038,8465
Peralatan Rumah Tangga,Elektronik Rumah ,Mesin Cuci,2090,2516
Peralatan Rumah Tangga,Elektronik Rumah ,Microwave,514,352
Peralatan Rumah Tangga,Elektronik Rumah ,Water Heater,692,255
Peralatan Rumah Tangga,Elektronik Rumah ,Freezer,615,128
Peralatan Rumah Tangga,Elektronik Rumah ,Oven,663,1349
Peralatan Rumah Tangga,Elektronik Rumah ,Air Purifier,3942,301
Peralatan Rumah Tangga,Elektronik Rumah ,Exhaust Fan,523,389
Peralatan Rumah Tangga,Elektronik Rumah ,Lemari Es,3212,1171
Peralatan Rumah Tangga,Dekorasi Rumah,Dalaman & Sarung Bantal,94071,1059
Peralatan Rumah Tangga,Dekorasi Rumah,Stiker Dinding,264723,2163
Peralatan Rumah Tangga,Dekorasi Rumah,Tanaman Artifisial,98543,843
Peralatan Rumah Tangga,Dekorasi Rumah,Jam Dinding,105652,3221
Peralatan Rumah Tangga,Dekorasi Rumah,Pewangi Rumah,11706,320
Peralatan Rumah Tangga,Dekorasi Rumah,Lampu Penerangan,17142,17601
Peralatan Rumah Tangga,Peralatan Masak,Perangkat Pemanggang,91022,-1
Peralatan Rumah Tangga,Peralatan Masak,Peralatan Makan,31731,4987
Peralatan Rumah Tangga,Peralatan Masak,Pisau Dapur,1220,1103
Peralatan Rumah Tangga,Peralatan Masak,Peralatan Dapur,102910,15055
Peralatan Rumah Tangga,Peralatan Masak,Alat Masak,35208,-1
Peralatan Rumah Tangga,DIY & Outdoor,Outdoor ,15011,-1
Peralatan Rumah Tangga,DIY & Outdoor,Kitchen Tapware,3306,196
Peralatan Rumah Tangga,DIY & Outdoor,Peralatan Listrik & Genggam,41127,7675
Peralatan Rumah Tangga,DIY & Outdoor,Taman & Kebun,57761,5973
Peralatan Rumah Tangga,DIY & Outdoor,Peralatan Keamanan,69124,2113
Peralatan Rumah Tangga,DIY & Outdoor,Peralatan Genggam,63311,6170
Peralatan Rumah Tangga,DIY & Outdoor,Peralatan Elektrik,71867,-1
Peralatan Rumah Tangga,DIY & Outdoor,Perkakas,26862,1723
Peralatan Rumah Tangga,DIY & Outdoor,Lampu Emergency,17460,3951
Peralatan Rumah Tangga,Mesin Jahit,,2794,4480
Peralatan Rumah Tangga,Tempat Penyimpanan,Rak Sepatu,7336,2484
Peralatan Rumah Tangga,Tempat Penyimpanan,Kamar Mandi,25386,2543
Peralatan Rumah Tangga,Tempat Penyimpanan,Penyimpanan Pakaian,14480,1659
Peralatan Rumah Tangga,Tempat Penyimpanan,Dapur,113139,36763
Peralatan Rumah Tangga,Binatu & Kebersihan,Setrika,2277,5183
Peralatan Rumah Tangga,Binatu & Kebersihan,Sapu & Pel,4692,-1
Peralatan Rumah Tangga,Binatu & Kebersihan,Steamer Pakaian,226,59
Peralatan Rumah Tangga,Binatu & Kebersihan,Jemuran & Gantungan Baju,12535,1166
Peralatan Rumah Tangga,Binatu & Kebersihan,Produk Pembersih,1339,218
Peralatan Rumah Tangga,Binatu & Kebersihan,Penghisap Debu,1869,4189
Peralatan Rumah Tangga,Furnitur ,Ruang Tamu,45291,4875
Peralatan Rumah Tangga,Furnitur ,Ruang Kerja,37542,1829
Peralatan Rumah Tangga,Furnitur ,Ruang Makan,3511,343
Peralatan Rumah Tangga,Furnitur ,Kamar Anak,2671,516
Peralatan Rumah Tangga,Furnitur ,Kamar Tidur,53739,6766
Peralatan Rumah Tangga,Furnitur ,Ruang Depan,5863,-1
Peralatan Rumah Tangga,Elektronik Dapur,Penanak Nasi,3083,3175
Peralatan Rumah Tangga,Elektronik Dapur,Toaster,303,797
Peralatan Rumah Tangga,Elektronik Dapur,Filter Air,2493,1626
Peralatan Rumah Tangga,Elektronik Dapur,Juicer ,1350,635
Peralatan Rumah Tangga,Elektronik Dapur,Mesin Kopi & Aksesoris,2452,688
Peralatan Rumah Tangga,Elektronik Dapur,Blender & Mixer,6331,14711
Peralatan Rumah Tangga,Elektronik Dapur,Dispenser Air,1765,2403
Bayi & Mainan Anak,Bayi & Balita,Pakaian & Aksesori Anak,456618,-1
Bayi & Mainan Anak,Bayi & Balita,Kamar Bayi,45359,1260
Bayi & Mainan Anak,Bayi & Balita,Perlengkapan Berkendara Bayi,47769,-1
Bayi & Mainan Anak,Bayi & Balita,Makanan Bayi & Balita,64123,-1
Bayi & Mainan Anak,Bayi & Balita,Perawatan Kehamilan,20704,-1
Bayi & Mainan Anak,Bayi & Balita,Kesehatan & Perawatan Bayi,2869,1191
Bayi & Mainan Anak,Bayi & Balita,Popok & Pispot,34140,4944
Bayi & Mainan Anak,Bayi & Balita,Dot & Aksesori,5771,704
Bayi & Mainan Anak,Boneka,,5774,1003
Bayi & Mainan Anak,Mainan Balok,,45766,2066
Bayi & Mainan Anak,Remote Control/ Mainan Mobil,RC (Remote Control),2172,1206
Bayi & Mainan Anak,Remote Control/ Mainan Mobil,Mainan Kendaraan,4017,-1
Bayi & Mainan Anak,Remote Control/ Mainan Mobil,Drone,3784,406
Bayi & Mainan Anak,Action Figure,Mini Figure,17193,655
Bayi & Mainan Anak,Action Figure,Mainan Koleksi,48394,-1
Bayi & Mainan Anak,Squishy,,1037,1112
Bayi & Mainan Anak,Mainan Edukasi,Mainan Musikal,1055,1015
Bayi & Mainan Anak,Mainan Edukasi,Mainan Balita,14224,-1
Bayi & Mainan Anak,Mainan Luar Ruangan,Tenda Anak,439,282
Bayi & Mainan Anak,Mainan Luar Ruangan,Yoyo,358,-1
Bayi & Mainan Anak,Mainan Luar Ruangan,Kolam Renang Anak,2703,2040
Mobil & Motor,Servis dan Instalasi,Ganti Oli,1663,633
Mobil & Motor,Servis dan Instalasi,"Servis Ban, Spooring & Balancing",12200,1053
Mobil & Motor,MOBIL,Aksesoris Mobil,142966,-1
Mobil & Motor,MOBIL,Ban & Velg Mobil,12200,1053
Mobil & Motor,MOBIL,Peralatan Garasi,62468,-1
Mobil & Motor,MOBIL,Oli & Pelumas,1663,633
Mobil & Motor,MOBIL,Perawatan Interior & Eksterior,5401,2636
Mobil & Motor,MOTOR,Perlengkapan Berkendara,25194,15877
Mobil & Motor,MOTOR,Spareparts Motor,49295,-1
Mobil & Motor,MOTOR,Elektronik Motor,2335,3034
Mobil & Motor,MOTOR,Aksesoris Eksterior Motor,4670,4726
Mobil & Motor,MOTOR,Peralatan Motor,9740,-1
Mobil & Motor,MOTOR,Sepeda Motor,1770,610
Mobil & Motor,MOTOR,Ban & Velg Motor,2227,-1
Mobil & Motor,MOTOR,Helm,9405,4813
Kesehatan & Kecantikan,Kesehatan,Suplemen Makanan,60435,29696
Kesehatan & Kecantikan,Kesehatan,Alat Medis,95341,-1
Kesehatan & Kecantikan,Kesehatan,KB & Alat Kontrasepsi,584,343
Kesehatan & Kecantikan,K-Beauty,Makeup,389065,47605
Kesehatan & Kecantikan,Kecantikan,Perawatan Diri,45347,8475
Kesehatan & Kecantikan,Kecantikan,Perawatan Kulit,52599,64485
Kesehatan & Kecantikan,L'Oreal Makeup Academy,Alat Kesehatan & Kecantikan,461170,56452
Kesehatan & Kecantikan,L'Oreal Makeup Academy,Perawatan Pria,35861,-1
Kesehatan & Kecantikan,L'Oreal Makeup Academy,Parfum,18731,-1
