,shopid,itemid,rating_star,cmt,Sentiment
231,4149345,42463139,2, Poor product quality,B
233,4149345,13433787,5,very worth the price!! acrylic is thick and of good quality! :) delivery very long though,G
234,4149345,14482801,5,Extremely fast delivery. Received with 3 days after ordering. In good condition too.,G
235,4149345,26966394,1,Fast cooking method but not tasty. ,B
236,4149345,15247463,5,Useful!!!! :),G
237,4149345,15719514,5,"Received this afternoon, delivered in person by postman, wrapped nicely, items are in good condition. I hv bn trying to do some stretching too: great 😉. Thank you",G
239,4149345,361724643,1,Very poor product quality. Please do not buy. ,B
240,4149345,14477372,4,"the support of the brush head is quite flimsy, seems like will break off if just a little bit more force is applied. but the brush is dense and quite soft",G
243,4937640,46524220,0,@m4lev0lent dearit is make of natural resources ,N
244,4149345,15250083,4,"Make up brushes were packaged well and received quite fast, but they were kind of smaller than what I expected oops",G
247,4149345,15719126,5,Items well packed & received. Thanks! ,G
248,4149345,15247462,5,Items took sometime to arrive but received in good condition! ,G
249,4937640,26495034,3,Much smaller than expected!!,G
250,4149345,42463218,1,Can't even vacuum anything ,B
251,4149345,232365557,4,"One of the eyeshadow cracked during delivery :(( But overall, eyeshadows are of a great pigment & is worth the price paid for 88 colours! I mean where do you get such prices at retail outlets right? 😲 Oh, not to mention, its a combination of both matte and shimmer eye shadows :)",G
252,4149345,16430420,5,Items well packed & received. Thanks! ,G
255,4149345,51485271,5, Excellent product  quality,G
256,4149345,51485265,1,I actually I don't want to give any stars because I have not receive my item till now. I don't understand why it shows that my order is completed,B
257,4149345,42462741,5, Excellent Item Quality,G
259,4149345,16442329,5,love this! so cool,G
261,4937640,115175107,4, Good service by seller,G
264,4937640,104304937,1," Poor product quality,open up to a broken palette with a shade broke into half.",B
267,4149345,46508789,5,Great buy!,G
269,4149345,16443106,4,Smaller than expected,B
270,4149345,30004477,5,Awesome Buy!,G
273,4149345,46575090,0,hi. is ink provided?,N
274,4149345,85835612,3,It's pretty good and it works but very very difficult to adjust,G
275,4149345,206469974,3,"Delivery was quick. But took me 2 days to charge the portable using the solar panel, died at one charge",G
276,4937640,44564393,3, Product quality is ok,G
277,4937640,72487058,5,Great quality! Highly recommended!,G
280,4937640,26495649,5,Long delivery,B
281,4937640,17704918,5,"Products r very cheap, took a bit long to come and was missing one of my items. Seller was helpful and helped me track the item. Good service ! ",B
282,4149345,13426430,1,"Seller clearly does no idea what she is selling, was int the lipstick and asked why cant i choose any of the option . And then she told me i will get all of the 12 lipstick . Then i ask if i will get all the same color she told me i will get one lipstick. ",B
283,4149345,49804703,0,White and blue,N
285,4149345,15251326,0,Hi how long does this need to ship? :),N
287,4149345,17707557,4,Worth the price! Recommended. ,G
290,4149345,43856894,3,One of the colour is broken unexpectedly. But overall the colour is satisfying. ,G
292,4149345,13434286,3,Nt eu plug. ,G
298,4149345,49790578,1, Very poor product quality. Sheer & see through. Very small size. More suitable for kids. Won't recommend. ,B
301,4149345,13432519,1,"I did not receive the product! And its thru a registered mail somemore. Dont understand how the courier company can ""sucessfully delivered"" when I did not sign on any received slip or receipt.",B
302,4937640,16804489,3,"for its price its good, got some vanilla smell 
however if you're looking for a good quality one not recommended as it isnt rly pigmented. havent tried it yet, but it is okay for its price :-) with and without flash . however, it is a mini version which isnt stated in description",G
305,4149345,367906857,3,Products came as described but hopefully shipper will pack the product in more secured packing.,G
307,4149345,237463508,3,Item come in China pin. Have to buy additional converter to able to use. ,G
308,4937640,17701415,4,okay for its price :-),G
309,4937640,17704457,5,"Seller send wrong colour in the first place and after communicate with her, she resend the correct colour. Thumb up! Will purchase more from seller of need. Thk u",G
313,4937640,104771942,5, Excellent service by seller,G
320,4149345,13433484,1,Box very dented>.< ,B
324,4937640,18986250,5,Good item. ,G
326,4937640,24088196,5,Soft 👍👍,N
329,4937640,22563832,5,"Good item but the rotate is not that strong, guess is operate by battery. ",B
331,4937640,24095331,3,Very small. More suitable for undereye and small areas. Does not expand much when wet. Sponge is kind of hard and has a strong chemical smell. ,G
337,4937640,206979520,0,"@tarekmd963 dear you can contact me on chat ,i will send a picture to you about banking ",N
339,4937640,104771942,4,does not get my blackheads removed but it makes my skin feels smoother after application!,G
348,4149345,86741665,0,"@asdqwer33 sorry , dear , it has not supported win10 ",N
349,4149345,13419870,5,Friendly seller! :D will buy again in future ,G
351,4937640,85958223,5,Haven try it but received it in good condition!,G
359,4937640,315187553,1, Very poor product quality Very poor delivery speed,B
360,4937640,17705128,5,👀👍,N
362,4149345,60615728,0,Can choose color?,N
364,4937640,35279758,3,Feels more plastic than silicone. Slightly bigger than I expected. ,G
365,4937640,18945556,5,"Nice lipstick! Just that the colour isn't as pigmented. For 90cents, it's great :)",N
369,4149345,16432635,5,fast delivery. Item it's good and worth it. Will buy more it needed thanks,G
372,4149345,13431702,4,Not bad.. ,N
376,4149345,16443820,5,Very cheap compare to shop. Thanks !,G
377,4149345,21419979,5,"Very satisfied with the wire. Even though it took more than a week to received the item, it's something worth the wait for the Low selling price. ",G
378,4149345,111820963,4,Express shipping was fast. Product was good,G
380,4149345,16742897,1,"Bought 2 sets, both give different n very wrong readings! Cannot calibrate so money wasted.",B
381,4149345,30004458,5,Delivery time acceptable. 100% legit product good quality RGB lights. Bright and good. Recommend! ,G
382,4149345,17708159,3,3 pcs of the dotting tool of each ends have the same size compared to the picture,G
383,4937640,54968233,3,Wrong color..,G
386,4149345,60228533,3, Good Value,G
387,4937640,24088090,4,Bowl a bit too small! ,B
388,4149345,49780104,5," Excellent service by seller, and product is good quality 👌🏻",G
392,4149345,57201880,5, Excellent Overall Service,G
393,4149345,13433484,3,Received in good order.,G
394,4149345,16432294,3,received. .. after long long time...,G
395,4149345,66179935,0,Hi! Will a Samsung Note 5 fit in that VR box?,N
396,4937640,26495147,4,Cute. But brush was a bit too rough and stiff for my liking,N
397,4937640,16806891,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
398,4937640,19379090,3,The product doesn't have Brush Egg embedded on it,G
400,4937640,19346757,2,looked a lot bigger and thicker than i expected,B
402,4937640,17703338,1," Very poor product quality
No pigment at all ",B
403,4937640,18981664,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
404,4937640,18986068,3," Product quality is ok Delivery time as expected Service by seller is ok
",G
406,4937640,115574611,0,@sg4801_46377 dear we are shipping from China,N
407,4937640,369621648,1,I nvr received it. ☹️,B
410,4149345,14479925,5,Item well received..,N
411,4937640,18982883,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
415,4937640,18983179,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
417,4149345,14479774,5,received without any cracks or defects. well wrapped up in box & foam to protect :) good buy! ,G
418,4149345,14479774,5, Excellent Value,G
419,4149345,42089916,1," Very poor product quality, only the light works, not the mist. ",B
420,4149345,83799685,5, Excellent Item Quality Excellent Value,G
421,4937640,24095331,4,Product good but had a smell,N
422,4937640,18982883,4,Delivery took way too long.. ,B
423,4937640,24095270,0,"@oelleoeeling Thank you, welcome shopping here again~",N
424,4149345,39575873,0,"@galerimartha dear ,  we have not the video , we can give the instruction to you ",N
425,4937640,19347989,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
426,4937640,122561716,2,"Box was crushed, and quite a significant amount of the cream was squeezed out of the box. Seller didn't make an effort in wrapping it properly in foam wrap. However, at this price, I wasn't expecting an NinjaVan delivery. Hope the product works. ",B
428,4937640,51424522,0,Wow so nice..,N
429,4937640,24088098,2,Haven't try it but the thing fall off when I first open it ...,B
431,4937640,22564307,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
435,4937640,206978872,5,"Good price. Yet to try the product, hope its good!",G
438,4937640,194718064,5,"I love it, thank you. ",G
440,4149345,16743040,0,Hi. How do I make an order,N
442,4149345,14480391,4,The glass is thinner than expected but still looks good,N
444,4149345,16743208,0,@foochinmay any replacement?,N
447,4149345,14483647,5,Superb nice item and seller.. ⭐⭐⭐🌟🌟🌟🌟,G
449,4937640,24095331,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
450,4937640,26495086,2,MirrOr damaged ,B
452,4149345,42462741,5,Great overall experience! Highly recommended!,G
453,4937640,43302616,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
458,4149345,60228404,5,Fast shipment,G
460,4937640,318873493,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G
461,4937640,26495075,2, Poor product quality Poor overall service,B
462,4937640,317670734,5, Excellent service by seller,G
463,4149345,49780200,0,"@mazdali dear , It normally takes 5-10 days to arrive your address , but sometimes maybe a little delay because of the problem of the weather , the Customs or your address , you can contact with me in chats when you have not received your order for a lo",N
465,4149345,237463508,4,"product works surprisingly! however, it has this weird smell but it is still good value for money 👍🏻",G
466,4149345,60615417,2, Poor product quality,B
467,4149345,26966750,5,Most of the design is repeat and its abit hard to make design on the leather,B
469,4149345,42463218,5,Useless product :/ doesn't suck up much and it smells ,B
475,4149345,46508845,5,Fast shipping. Feel soft too,G
476,4149345,14476821,5,reccomended!,G
485,4149345,15250083,5,love the brushes! ,G
489,4937640,119025745,3,All is good. Just that the pin is not as friendly to be used in normal plugs,G
494,4149345,14481902,5,Item received in good condition! ,G
496,4149345,15735925,4,The material will curl out around your hips. Probably wont last more than 10 wears. But no complaints for the price!,G
497,4149345,49780104,1,the product is defected and seller don't care to reply in chart room. waste money and time.,B
501,4937640,18986739,1,did not receive two of my items. very disappointed  Very poor service by seller,B
502,4149345,15720119,0,@ltwong,N
508,4149345,15247472,0,Hi how big are the brushes? @shirleyaye @aizudnoorshyeight @delique,N
510,4149345,17708544,2, Poor Item Quality,B
511,4149345,56342278,3,Product quality is ok ,G
512,4149345,42089916,5,"Not tested yet..

Tested today.... 2 buttons. Left button controls light - no problem.... Right button should be ON OFF n the water is not moving n there is no mist... seems like a faulty thing??!! Waiting for seller to respond...",N
519,4149345,14479020,0,"Hi , is the shipping cost for per item or per purchase from your shop?",N
522,4937640,44160990,5,"Bad condition of the lipsticks received. I ordered 3 of them and when I opened the lid, the first lipstick dropped out of the cover. The whole lipstick was stuck to the lid of the cover. The second and third lipstick had dents and was smudged onto the lip cover. Disappointed in the condition. ",B
525,4149345,13426430,4,"Colour is pretty pigmented and is not drying :) despite the Low quality packaging, it's still a decent lipstick. ",G
529,4149345,60224188,5,Alittle smaller than what i have expected. But still works very well!,G
530,4149345,14481902,3,"Received in 13days with standard express.
Sponge was alot tiny than expected.
So it's basically a teeny mini blender 😂",G
531,4937640,100428149,5,Real fun! 😊😊,G
532,4149345,42462741,1, Very poor product quality,B
535,4149345,16742186,3,Smalllzzzz what was i thinking...,G
536,4149345,15720530,5,Great and fast delivery!,G
539,4149345,19342438,5,The orange is too bright. What was i thinking hahah,B
541,4937640,289616207,5, Good value for money,G
543,4937640,17705128,5,Impressed with these lip liners. Only $2 per set ! Worth my 2 bucks.,G
544,4937640,18982883,3,Delivery time was very very long. Kinda regret topping up for the ‘faster option’ of shipping. ,G
547,4937640,35279652,4, Good product ,G
548,4937640,51425764,0,Does it work with normal nail polish?,N
550,4937640,100430497,5,Very cooperative ,G
551,4149345,237463508,0,5pcs,N
553,4149345,42463230,5,Item received in good condition. Quality looks good. Yet to try.,G
554,4937640,94479513,5,smaller than expected.,G
557,4937640,44467112,5,Excellent Delivery Speed,B
558,4937640,119025745,4,Cute ! Have yet to try to see if it works ,G
560,4149345,104216188,4, Product quality is ok Delivery time as expected Service by seller is ok,G
561,4149345,24119390,0,"Hi !, this is delivery 21 days ?",N
565,4937640,127979848,1,"Broken . Smells like idk what . But ok. The wand slanted . Colour I thought nude , but like pink . Doesn't suit my face :(",B
566,4937640,18985414,5,Thx seller,G
571,4149345,361169630,5,"Item received in discreet packing, looks to be good condition n quality.",G
572,4149345,15720407,3, Good Value,G
573,4149345,70872745,5, Excellent Value,G
576,4149345,13433994,2,Didn't go well... no manual. White elephant!!,B
577,4937640,18983802,4,"seller is really nice and patient, when i ask about my items, however i think it would be better if all items were shipped all at once, but other than that, recommended!!",G
578,4149345,15735466,5,Seller is fast in replying & processing of order.  Good.,G
579,4937640,19376409,5,Thx seller,G
581,4937640,282750352,1,Too fast battery exhausted,B
585,4937640,46523851,5," Excellent product  quality Excellent packaging Excellent seller service quality

SUPER GOOD ",G
588,4937640,95772647,5," Excellent product  quality Excellent packaging
yet to try",G
589,4149345,15719640,0,@jigcabrillos,N
592,4937640,46523851,3,abit too watery for me but still decent for the amount of price i paid,G
593,4149345,49790560,1,Poor quality. Badly stitched.,B
595,4149345,84319878,1, Very poor product quality,B
596,4149345,14476821,0,May i know what standard express is like ? Cus i thought of buying it .,N
597,4937640,18980338,5,Thx,G
602,4937640,315187569,5, Excellent product  quality Excellent packaging,G
603,4937640,112156160,1,Not as good as expected. Suction isnt strong enough. ,B
606,4149345,19339134,4,"A bit late on the delivery, but overall it is okay 👍🏽 ",N
608,4937640,210159388,4,"i should have bought fb02 instead of fb03, but overall looks normal",N
614,4937640,16812206,0,can i pay in peso? Pleaseee?,N
616,4149345,14479020,5,Cheap and good. Some of the rubber parts wasn't very well done but it works perfectly!,G
618,4937640,106020311,5,Item well received in good conditions ,G
621,4937640,17702687,5,fast delivery and happy with the items received. looking forward to shop again with seller in the future! :-),G
622,4937640,127979848,4,"Smells a little like plasticine, but stays on the lips even after food. Minimal touchup ",N
623,4149345,16751961,1," Very poor product quality, item was spoilt, waste my money. 
",B
625,4149345,15247463,5,"Came in a bubble wrap, good packaging and great product. Very good material and will purchase more items with buyer!",G
626,4937640,127478636,5,There was a delay on the delivery but overall excellent service by seller. Quality was okay for the cheap price I can't complain much😊👍,G
628,4937640,100429280,1," Poor product quality,apply on face the facials hair non removable.",B
631,4937640,18983118,1,Not what I expected... 🙁,B
633,4937640,24088111,5,Recieved early and package was nicely wrapped! ,G
634,4149345,367219615,1,"Very poor product quality. Used on loose hard drive screw.. the claimed ""high quality precision telecommunications tools"" became twisted and the ""metals"" basically disintegrated within the first 3secs of use.. making it unusable even when it was supposed to be the right size for the right screw.",B
638,4149345,13432519,3,"Delivery considered fast, the speaker came in good condition, however, the suction cup for the speaker isnt that good as it keep falling off the wall, was quite impressed with durability of the speaker as it droped twice from quit a high ground. The blue tooth connection isnt that great as well",G
642,4937640,24095270,5,Works perfectly!,G
644,4937640,16811382,0,"Hi, can i ask whether this item still in stock?",N
650,4149345,26966542,5,Helpful seller,G
657,4149345,16431570,5,Lol... this is what it say 100pcs! Yes or No is on you. :),N
662,4937640,19356482,5,Love my purchase! Affordable! Recommended Seller!!,G
667,4149345,34399378,5,Excellent service by seller. Replace broken item immediately. highly recommended.,G
673,4937640,16810329,5,just want to ask if where can we get the items we bought if we missed the suppossed day of delivery? ,G
674,4937640,26495790,5,Eventho I received it late but I really love the brushes!!,G
676,4149345,13432637,3,I can only give it 3 stars as there is a defect on the lamp. I hope you double check it in the future before delivering it out to customers.,G
677,4149345,42089916,1,"Both items are defective and cannot be used at all. I've ordered 6pcs in different orders. The only 2 managed to work fine. Photo shown is one of the defected item, the rest cannot be turned on. Still waiting for the seller to reply me.",B
679,4937640,127979848,5, Excellent service by seller,G
682,4937640,24095270,0,"@yujingjing sorry for the trouble, it may be caused by the shipment, if there is any problem, please contact us online~",N
684,4149345,42089916,4,Box like crush before v bad condition but item is fine.,G
685,4937640,21273421,1, Very poor product quality,B
686,4149345,26966804,4,Received in good condition n product acceptable ,G
688,4149345,16429253,1,Not in good working condition. ,B
691,4149345,49780215,1, Very poor service by seller.Con seller. Oder 6 pcs of products but they only send 2 products. ,B
694,4937640,18983730,1,The eyeliner is very dry and only a little bit of ink came out,B
695,4149345,13433484,5,Item received in good condition~,G
697,4149345,14479774,5,Good packaging. But one of it is damaged,G
698,4149345,16751702,1,Shower cap broke before even using. ,B
700,4937640,51424522,0,😘,N
701,4937640,54968011,3, Product quality is ok,G
704,4149345,13433787,5,Item received in good condition~,G
705,4149345,49780104,5,Product took 25 days to be delivered. Item received in good condition. 😊 ,G
706,4937640,19377585,4,G,G
711,4149345,14479514,5,This is good and will buy more! Able to detect current as long as it is not cover with metal ! ,G
712,4937640,17701309,5,Item receive in good condition!! Thanx alot babe!! I love it!!,G
715,4149345,60228441,5,Good quality. Delivery was ard 7 days,G
716,4149345,26966375,5,Item received in good condition~,G
718,4149345,13422342,0,"@sg6273_40980 If get damaged item, I will refund .tks",N
719,4149345,15249017,5,Good packaging,G
721,4149345,15250829,0,Hi may I know how Long will it take for it to reach sg if I order today?,N
722,4149345,42462759,3,"Bought 2 pieces, one was working fine but the other one cannot be detected by my phone.",G
724,4149345,39575928,5,Item received in good condition~,G
726,4937640,18980941,5, Excellent service by seller. ,G
727,4149345,39575906,5,relatively fast considering the fact it's from overseas. good product. ,G
732,4149345,15736134,5,Thx seller,G
734,4149345,35945132,5,Good packaging,G
738,4149345,49790527,1,Size is too small... Large size is good for kids.,B
741,4937640,85958267,5,Excellent service by seller,G
743,4149345,35946086,5,Good packaging,G
750,4149345,106562811,5, Excellent service by seller,G
755,4149345,42089916,5, Excellent service by seller,G
757,4937640,46524220,3, Delivery time as expected,G
758,4149345,46508803,4, Product quality is ok,G
759,4149345,13433787,4,"Pretty good quality, it feels ""heavy"", not like cheap plastic. Some minor crack lines here and there, otherwise in good condition. ",G
760,4149345,60228462,3,Received but slow ,G
767,4937640,206979520,0,Can i contact u?,N
768,4149345,60226150,5,Love this! ,G
769,4149345,16443215,5, Excellent service by seller,G
771,4149345,46575093,4,"My fault for not noticing the ""8mm"" - the tapes are very small (but are 8mm, as specified!) 😂 The tapes look okay, some blemishes here and there - end of the tape is torn off rather than cut off, a little bit of dirt on the tape (which can be removed easily). Otherwise, in good condition.",G
772,4937640,24088111,5,Item is really pretty and is bubble wrapped! Efficient seller :) ,G
773,4149345,14479774,5,Item could be more well protected (was wrapped in few layers of foam wrap) but arrived in perfect condition. Delivery took about 10 days but that was expected. Would purchase this product again. ,G
776,4149345,185964127,1,Dint receive this ,B
779,4937640,24095331,5,"Slow delivery, item has not arrived. Has been waiting for more then 10 days and item is still not delivered due to wrong address. ",G
780,4149345,26966851,5, Excellent service by seller,G
783,4149345,71921352,5,The applicator is not a typical eyeliner brush but rather a hard tip of a felt pen. However it's not difficult to use and it's really waterproof and smudge proof after a day's use. Consistency of liquid is similar to diluted ink but can be layered to build on pigmentation. Would repurchase! :) ,N
786,4149345,42462720,5, Excellent Value,G
787,4149345,13430983,5, Good value for money,G
788,4937640,104771480,5,Super pigmented! Love it!! Cant wait to try it on! ,G
790,4149345,57850062,5, Excellent service by seller,G
