shopid,itemid,rating_star,cmt
4937640,24088202,5,Didnt expect to be soooo thin..is half the thickness compair to my currect sponge
4149345,86889242,5, Excellent service by seller  Fast delivery Good product quality
4149345,17709071,0,"hi, i unable to chat with you so i talk through here instead . i need this part in urgent how long will it take ? "
4149345,238809445,4,Quite flimsy
4937640,21273230,5,Im happy with the product. Recieved well wrapped.
4937640,19379090,5, Excellent Value
4149345,14479514,5, Fast delivery. Yet to test. Hope it works fine.
4937640,18982022,1,I ordered an eyebrow but they give me a wrong item
4149345,16742382,5,Bristles rather soft
4937640,24095270,5,Bought 3 tested 1 and didnt leak.  Good product quality
4149345,14482801,5, Good product quality. This is my third order.  Good product quality. Eeight quite accurate. Cheaper than other seller.
4937640,24095270,5, Good product quality
4937640,104772111,0,"My nail can't dry , even lighting 2min"
4149345,14481902,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. 
4149345,14481479,5,Good to clean home! 
4149345,14476821,5,"creamy texture, slightly more oily than normal creamy ones but it's only 90 cents for so many colors so pretty worth it"
4937640,98141075,5, Excellent Value
4149345,48219737,5, Excellent Item Quality Better than I expected 
4937640,24095270,5, Good product quality
4937640,282750352,5, Good product quality
4149345,15720042,5, Good product quality
4937640,98141075,5, Excellent Item Quality
4149345,15719000,5,Tried one of the tools and it works! Was surprised and it's cheap so give it a shot.
4149345,14480935,5, Good product quality 
4937640,21273379,5, Good product quality
4149345,104058234,5, Good product quality
4149345,14481902,5, Good product quality Fast delivery Excellent service by seller
4937640,19346757,1,"Fan is out of shape, no matter how i tried to wash n air dry, its not reversible. Think its better to buy fan brushes at shop as not able to know tht its bristles are really in fan shape or smushed."
4937640,51424629,5, Excellent service by seller
4149345,16751034,5, Fast delivery
4149345,42463218,1," Bad Item Quality

It does not vacuum any dust/dirt on my keyboard and likewise on any other platforms.

Not worth."
4149345,54623609,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. 
4149345,15719000,5, Fast delivery
4937640,104304937,5, Excellent Item Quality
4937640,120005596,5, Good product quality 
4149345,14483252,5,Working gd
4149345,57201880,5, Fast delivery Good product quality Excellent service by seller
4937640,22564307,3,Ok. Item came in gd condition. Quality is avg
4149345,49790515,4,The bag was really nice  but the brown looked more orange than brown
4149345,14481902,5, Good product quality Fast delivery Excellent service by seller
4149345,14479774,5, Good product quality and Fast delivery 🖒
4149345,14480472,0,The blue color I ordered is not the same as in the picture
4149345,122414837,5, Fast delivery
4149345,125165757,3,"Bought a couple of items from this seller and received everything! For this item: I wouldn't recommend buying it because it doesn't really help with the application. The foundation runs because of the silicone surface so i would rather use a blender than this. But hey, just wanted to give it a try!"
4937640,18985499,5, Good product quality. Excellent service by seller
4937640,26495113,3,"Not expecting it to be mid size, was expecting really mini for using with concealer. Texture a bit rough n porous. Yet to try."
4937640,95772330,5, Good product quality. Fast delivery!
4149345,320486087,1," Poor product quality, looks very dirty when opened up "
4149345,15736209,5,Amplify the mic alot
4937640,26495143,5,Awesome! Fast and efficient too 
4937640,26495062,5,The zipper not very smooth. 
4149345,15250953,5, Good product quality Fast delivery Excellent service by seller
4149345,14482801,5, Good product quality Fast delivery Excellent service by seller
4937640,40486729,4, Fast delivery
4149345,19339134,5, Fast delivery Excellent service by seller Fast delivery
4149345,15719000,5, Fast delivery
4149345,30004455,5, Good product quality Fast delivery Excellent service by seller
4149345,16430598,5,Gd
4149345,15250953,5, Good product quality Fast delivery Excellent service by seller 
4149345,80667527,5, Good product quality
4149345,30004411,5, Good product quality
4149345,15719000,5, Good product quality Fast delivery Good product quality Fast delivery Excellent service by seller
4149345,238827843,5, Excellent service by seller Good product quality
4937640,17705042,5, Good product quality- all nicely packed in good condition:)
4937640,155675738,5,Fast delivery
4149345,340390867,5, Good product quality👍👍👍
4149345,16431132,5, Good product quality  Fast delivery Excellent service by seller 
4937640,44160990,5," Fast deliveryas it came on time and  Excellent service by seller. Good product quality, tried ut once I love it!"
4149345,16748447,5,Workin find
4937640,18984937,2,"definitely not waterproof. i tested on my hand, and run it under water and it just washes off without me having to rub it Poor product quality"
4937640,26495672,5, Good product quality
4937640,18986250,5,Product working but need to test 
4937640,19356666,5,Brush bristles very soft
4149345,106452678,5, Fast delivery
4149345,17708500,4,Nt the fast charging type
4149345,49790653,5," Fast delivery Good product quality
The material is soft and smooth.. worth buying"
4149345,17709916,1,"Very disappointed with the item. There is almost no wind unless you put it super close to your face. Expecting it to work. Delivery wise was not a problem, only the item."
4149345,194972577,5," Fast delivery
 Excellent service by seller
 Good product quality , the brushes are so so soft I love it. 
Worth the purchase 
"
4149345,13433292,5, Good product quality
4937640,18983118,5, Good product quality Fast delivery Excellent service by seller
4149345,14481633,5,Cheappppp
4149345,14476821,0,Call feefee 93535360
4937640,26495147,4,"the bowl is a bit small and the brush is loose. however for the price, u get what u pay for and i think its worth"
4149345,104063748,5, Good product quality Fast delivery Excellent service by seller
4149345,17709916,2,"Wind was v weak even though tried using new batteries ,and as well as using the cable provided:/"
4149345,14480806,1,2 watches received but 1 not functioning :( 
4149345,106451904,5, Fast delivery Excellent service by seller
4149345,14486722,0,Can be used for ps4?
4149345,16430598,5,Cheap and works and worth
4149345,16431739,5,Comfortable and true to description 
4937640,24095293,5, Good product quality Fast delivery
4937640,18984825,5, Good product quality
4149345,26966776,5,Nice n cheap
4937640,40486732,5, Fast delivery Good product quality
4149345,16431050,5,Good and cheap. Definitely worth it :)
4149345,14480391,5, Excellent service by seller
4149345,13432519,5,Doesn't feel cheap and the sound quality is good. It's just that the volume is very low. 
4937640,17705773,4,"Product took awhile to come, but it's pretty worth it for the price"
4149345,15735423,5,Thx seller
4149345,16432067,5,Damn cheap worth it
4937640,35923578,5,The cap not very tight and alittle leak when im using. 
4937640,26495244,5," Fast delivery
The sticker doesn't look like the one I ordered.. it feels more plasticky "
4937640,16803999,5, Excellent service by seller Excellent service by seller Excellent service by seller Fast delivery Fast delivery Good product quality
4149345,237463843,5, Good product quality Fast delivery Excellent service by seller
4937640,323892755,4, Good product quality Good service by seller
4149345,49780104,4,Received in working condition
4937640,18985848,5,Very good quality!
4937640,35923681,5,Hvnt use
4937640,17704072,1,the eyeliner doesnt even work.
4937640,22563841,4,"Product took awhile to come, but it was worth it for its price. "
4149345,13432519,5, Fast delivery Good product quality
4937640,26495657,5,Untangle my hair...  Good product quality Fast delivery Excellent service by seller
4149345,16431804,5, Fast delivery
4149345,21422189,5,Was expecting to have matchstick but while it still worth the price and it's bigger the I expected
4149345,13431702,1,Never received
4937640,17705522,3,Not bad..smooth application but pretty drying. 
4149345,13433994,5, Good product quality. Excellent service by seller! Seller was very patient and responds quickly!!
4149345,15736347,5,"Glass bottle, larger then expected 👍🏽"
4937640,18984937,5,Yay items received in great condition!
4937640,17704072,1,the eyeliner doesnt even work. like really.
4937640,43302631,3,Didth grow in the dark. 
4937640,35923944,5, Fast delivery.. haven't try out yet 
4149345,185985870,5," Fast delivery
"
4937640,120005596,5, Good product quality! Very fast delivery too thankyou for the brushes! Its damn niceee
4149345,15736580,5, Good product quality
4149345,13433484,5,Fuss free transaction! Thank you.. 😄😄
4937640,40486732,5," Good product quality Excellent service by seller Fast delivery

Fast delivery!!!!!!!! "
4937640,43302631,3,Didnt grow in the dark
4937640,95113491,5, Good product quality
4149345,15247474,5, Good product quality Good product quality Good value for money Fast delivery Excellent service by seller
4937640,18982022,1,"Pencil unable to be sharpened and breaks easily. However for 20 cents, can't expect much. "
4149345,46575057,0,Could I check if the syringes are individually sterile packed?
4149345,16432934,2,Cannot be lit
4149345,16749761,5,very compact and handly.
4937640,43305088,5, Good product quality
4937640,18986630,1,Very poor product quality - It's really a mini eyelash curler but the heat is not strong enough curl up the eyelashes
4937640,24088111,4, Good product quality Excellent service by seller. not that fast to rvd
4149345,13431842,5,Item received in order.
4149345,116570569,5, Good product quality
4149345,15250829,3,"Some of the brushes were defective (the hairs were not properly glued and they shed quite alot) but for the price, I don't mind. I'll just have to find a way to make it work. Still a great deal though! 👍"
4149345,57202036,5,Good product quality
4937640,24095331,3,this is so funny because i thought it'd be about the same size as the normal beauty blender but it is smaller than that 😂 so cute!!! plus $0.20 for that cutie???? im coming back for more!!!!  Product quality is ok
4937640,85958051,5,Alittle loose for me
4149345,71921841,5, Good product quality
4149345,17709350,4, Fast delivery Good product quality
4149345,42089916,5,I had purchase more than 10 pc from seller. Good product quality Fast delivery Excellent service by seller
4937640,44190987,2,"Poor product quality - colour is nice but just use the first time, lip gross easily broke into half so can't be used for the 2nd time"
4937640,40486732,4,It came broken but seller was kind enough to give me a discount on my next purchase 
4937640,94479186,5,Fit well. It will sweat when i put on. 
4149345,14481479,5,Thx seller
4937640,127478661,3," Product quality is ok. Cannot see the Colour on hair, might not be suitable for dark hair Colours. There was flaking of chalk off on the hair and looked unnatural. Fast delivery. "
4937640,282750352,2, Poor product quality
4937640,26495086,3, Product quality is ok
4937640,85958223,5, Good product quality
4937640,206979465,5, Good product quality Fast delivery
4149345,15247475,0,still avail?
4149345,13432637,5, Excellent service by seller
4937640,103148652,5,Nice colors
4149345,13432277,0,@jforjacob yes
4149345,14481902,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.
4149345,49780272,5, Good product quality Fast delivery Excellent service by seller
4149345,16430251,4," Great Item Quality, item came as pictured. Delivery took quite awhile though."
4149345,24119086,5,"Fast delivery and Excellent service by seller.
Thanka seller."
4937640,104771942,4, Good product quality
4937640,185919394,2,my baby is going to outgrow this baby harness in about a month! i thought that it might be too small.
4937640,104772189,5,"Good product quality
Delivered as per estimated date"
4149345,13426987,5,Its nicely packed and the brush is very smooth. Can't wait to try it! Thank you so much! :) 
4149345,14481902,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.
4937640,103791202,5,Ok. 
4149345,49780250,1,"Why is the suction not strong like you've suggested? It can barely stick on the wall!  That's for the soap holder. 

For the toothbrush the suction doesn't even stick. It's so lousy. I 10/10 recommend you not to buy from them. The products is bad. 
Waiting time is bad too. "
4937640,112156416,5, Good product quality. The hair is super soft!! Feels like a real hair!! Loving it so much!! 
4937640,22563813,5,Great seller n great sev . Highly recommanded to all buyer n seller.
4937640,19378492,5, Fast delivery
4937640,21273277,5, Fast delivery Excellent service by seller Good product quality
4937640,210159567,5," Good product quality
Delivered as per estimated date"
4149345,103432766,5, Good product quality Good value for money
4149345,15719000,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.
4937640,155675738,5, Fast delivery
4149345,13432519,5, Good product quality Fast delivery
4937640,155675738,5, Good product quality
4937640,113124279,5, Fast delivery
4149345,185985896,3, Product quality is ok.
4937640,44467139,5, Good product quality! Fast delivery! Excellent service by seller!
4937640,112156353,1,I still didn't receive. How to give feedback ? 
4149345,15737271,3,"Very cheap but rather don't buy , no effect at all , foaming . Smell like toothpaste & taste a bit like it as well . Like minty and bland . "
4149345,42463139,2, Poor product quality
4937640,104771400,5, Fast delivery
4149345,13433787,5,very worth the price!! acrylic is thick and of good quality! :) delivery very long though
4149345,14482801,5,Extremely fast delivery. Received with 3 days after ordering. In good condition too.
4149345,26966394,1,Fast cooking method but not tasty. 
4149345,15247463,5,Useful!!!! :)
4149345,15719514,5,"Received this afternoon, delivered in person by postman, wrapped nicely, items are in good condition. I hv bn trying to do some stretching too: great 😉. Thank you"
4149345,46575282,5, Good product quality
4149345,361724643,1,Very poor product quality. Please do not buy. 
4149345,14477372,4,"the support of the brush head is quite flimsy, seems like will break off if just a little bit more force is applied. but the brush is dense and quite soft"
4149345,13427118,5, Good product quality Excellent service by seller
4937640,155675738,5, Fast delivery
4937640,46524220,0,@m4lev0lent dearit is make of natural resources 
4149345,15250083,4,"Make up brushes were packaged well and received quite fast, but they were kind of smaller than what I expected oops"
4937640,18985499,5, Fast delivery Good product quality
4149345,42462759,5, Good product quality
4149345,15719126,5,Items well packed & received. Thanks! 
4149345,15247462,5,Items took sometime to arrive but received in good condition! 
4937640,26495034,3,Much smaller than expected!!
4149345,42463218,1,Can't even vacuum anything 
4149345,232365557,4,"One of the eyeshadow cracked during delivery :(( But overall, eyeshadows are of a great pigment & is worth the price paid for 88 colours! I mean where do you get such prices at retail outlets right? 😲 Oh, not to mention, its a combination of both matte and shimmer eye shadows :)"
4149345,16430420,5,Items well packed & received. Thanks! 
4937640,112518348,5, Good product quality Fast delivery Excellent service by seller
4149345,14476976,5, Good product quality Excellent service by seller
4149345,51485271,5, Excellent product  quality
4149345,51485265,1,I actually I don't want to give any stars because I have not receive my item till now. I don't understand why it shows that my order is completed
4149345,42462741,5, Excellent Item Quality
4149345,14486824,5, Good product quality
4149345,16442329,5,love this! so cool
4149345,14481902,5, Good product quality super tiny and cute cant wait to try it
4937640,115175107,4, Good service by seller
4937640,120005596,4, Good product quality
4937640,112518348,5, Good product quality Fast delivery Excellent service by seller
4937640,104304937,1," Poor product quality,open up to a broken palette with a shade broke into half."
4937640,40486732,5, Good product quality
4937640,127979848,5, Good product quality Fast delivery Excellent service by seller
4149345,46508789,5,Great buy!
4149345,26966852,4, Good product quality but delivery takes more than a week.. :(
4149345,16443106,4,Smaller than expected
4149345,30004477,5,Awesome Buy!
4149345,111820941,5, Good product quality  Excellent service by seller
4937640,46524199,5, Good product quality Fast delivery Excellent service by seller
4149345,46575090,0,hi. is ink provided?
4149345,85835612,3,It's pretty good and it works but very very difficult to adjust
4149345,206469974,3,"Delivery was quick. But took me 2 days to charge the portable using the solar panel, died at one charge"
4937640,44564393,3, Product quality is ok
4937640,72487058,5,Great quality! Highly recommended!
4937640,238311553,5, Good product quality Fast delivery Excellent service by seller
4937640,238311553,5, Good product quality Fast delivery Excellent service by seller
4937640,26495649,5,Long delivery
4937640,17704918,5,"Products r very cheap, took a bit long to come and was missing one of my items. Seller was helpful and helped me track the item. Good service ! "
4149345,13426430,1,"Seller clearly does no idea what she is selling, was int the lipstick and asked why cant i choose any of the option . And then she told me i will get all of the 12 lipstick . Then i ask if i will get all the same color she told me i will get one lipstick. "
4149345,49804703,0,White and blue
4937640,238311553,5, Good product quality Fast delivery Excellent service by seller
4149345,15251326,0,Hi how long does this need to ship? :)
4149345,17707898,5, Good product quality Excellent service by seller
4149345,17707557,4,Worth the price! Recommended. 
4149345,57202036,5, Fast delivery Good product quality Excellent service by seller
4149345,71921868,5, Good product quality
4149345,43856894,3,One of the colour is broken unexpectedly. But overall the colour is satisfying. 
4937640,16812206,4, Fast delivery
4149345,13434286,3,Nt eu plug. 
4937640,238311553,5, Good product quality Fast delivery Excellent service by seller
4937640,112517280,5, Good product quality Fast delivery Excellent service by seller
4149345,319049136,5, Fast delivery
4149345,29995080,5,Worth the price! Recommended. Looks exactly like pic. Good product quality
4149345,14485272,5, Good product quality Fast delivery Excellent service by seller
4149345,49790578,1, Very poor product quality. Sheer & see through. Very small size. More suitable for kids. Won't recommend. 
4149345,15719490,5, Good product quality
4149345,15719490,5,Delivery took abit long but Good product quality
4149345,13432519,1,"I did not receive the product! And its thru a registered mail somemore. Dont understand how the courier company can ""sucessfully delivered"" when I did not sign on any received slip or receipt."
4937640,16804489,3,"for its price its good, got some vanilla smell 
however if you're looking for a good quality one not recommended as it isnt rly pigmented. havent tried it yet, but it is okay for its price :-) with and without flash . however, it is a mini version which isnt stated in description"
4937640,238311553,5, Good product quality Fast delivery Excellent service by seller
4149345,15719000,5, Good product quality Fast delivery Excellent service by seller
4149345,367906857,3,Products came as described but hopefully shipper will pack the product in more secured packing.
4149345,49790653,5, Good product quality. Thick leggings suitable to wear as inner wear during cold weather. 
4149345,237463508,3,Item come in China pin. Have to buy additional converter to able to use. 
4937640,17701415,4,okay for its price :-)
4937640,17704457,5,"Seller send wrong colour in the first place and after communicate with her, she resend the correct colour. Thumb up! Will purchase more from seller of need. Thk u"
4937640,95113771,5, Fast delivery Fast delivery Excellent service by seller
4149345,13431702,5, Good product quality Fast delivery Excellent service by seller
4149345,14479774,5, Good product quality
4937640,104771942,5, Excellent service by seller
4149345,14486670,5, Good product quality Fast delivery Excellent service by seller
4149345,49790653,5,Good product quality. Thick leggings suitable to wear as inner wear during cold weather. 
4937640,96340676,5, Good product quality Fast delivery Fast delivery
4937640,104771942,5, Fast delivery
4149345,15250953,5, Good product quality
4149345,13433352,5,Second purchase from seller.. thanks Seller Good product quality Fast delivery Good product quality Fast delivery
4149345,13433484,1,Box very dented>.< 
4149345,15249889,4, Good product quality
4937640,94479301,5, Good product quality
4937640,96833094,5, Good product quality Good product quality Fast delivery
4937640,18986250,5,Good item. 
4937640,226207333,5, Fast delivery
4937640,24088196,5,Soft 👍👍
4149345,15250953,5, Good product quality Fast delivery Excellent service by seller
4149345,15251394,5, Good product quality
4937640,22563832,5,"Good item but the rotate is not that strong, guess is operate by battery. "
4937640,103150845,5, Good product quality Good product quality Fast delivery
4937640,24095331,3,Very small. More suitable for undereye and small areas. Does not expand much when wet. Sponge is kind of hard and has a strong chemical smell. 
4149345,85882815,5, Good product quality
4149345,15719000,5, Good product quality
4937640,35279677,5, Good product quality Fast delivery Excellent service by seller
4149345,13433484,5, Good product quality Fast delivery
4149345,15720360,5, Good product quality Fast delivery Excellent service by seller
4937640,206979520,0,"@tarekmd963 dear you can contact me on chat ,i will send a picture to you about banking "
4149345,13432637,5, Good product quality
4937640,104771942,4,does not get my blackheads removed but it makes my skin feels smoother after application!
4149345,15720407,5,Good product quality
4149345,16430420,5, Good product quality
4149345,15719000,5,Items recieved today! Good product quality!  Excellent service by seller!Will deal with u again! Thanks!
4937640,106020311,5, Good product quality
4937640,103151142,5, Good product quality Fast delivery
4149345,42089916,5, Fast delivery. 
4149345,15737299,5, Good product quality Fast delivery Excellent service by seller
4937640,127478636,5, Good product quality Fast delivery Excellent service by seller Thank u :) 
4149345,86741665,0,"@asdqwer33 sorry , dear , it has not supported win10 "
4149345,13419870,5,Friendly seller! :D will buy again in future 
4937640,19377585,5," Good product quality Excellent service by seller Fast delivery
Well wrapped "
4937640,85958223,5,Haven try it but received it in good condition!
4149345,116570569,5, Good product quality
4937640,113124258,4, Good product quality
4149345,54623609,5, Good product quality Fast delivery Excellent service by seller
4149345,14481479,5, Good product quality Fast delivery Good product quality Fast delivery Excellent service by seller Second purchase from seller .. thanks seller
4937640,18983337,5, Fast delivery
4937640,155675738,5, Good product quality
4149345,49780024,5, Good product quality
4937640,315187553,1, Very poor product quality Very poor delivery speed
4937640,17705128,5,👀👍
4937640,104771410,5, Good product quality Fast delivery
4149345,60615728,0,Can choose color?
4937640,265637027,4, Good product quality
4937640,35279758,3,Feels more plastic than silicone. Slightly bigger than I expected. 
4937640,18945556,5,"Nice lipstick! Just that the colour isn't as pigmented. For 90cents, it's great :)"
4937640,194718064,5, Good product quality Good product quality Fast delivery
4149345,42506173,4, Fast delivery
4937640,43302629,5, Good product quality
4149345,16432635,5,fast delivery. Item it's good and worth it. Will buy more it needed thanks
4937640,104304937,5," Good product quality Good product quality Fast delivery Excellent service by seller
Pigmented eyeshadow"
4149345,125165757,5, Good product quality
4149345,13431702,4,Not bad.. 
4937640,112156358,5, Fast delivery.  Good product quality
4937640,206979855,5, Good product quality Fast delivery
4937640,98732297,5, Good product quality Fast delivery Excellent service by seller
4149345,16443820,5,Very cheap compare to shop. Thanks !
4149345,21419979,5,"Very satisfied with the wire. Even though it took more than a week to received the item, it's something worth the wait for the Low selling price. "
4149345,111820963,4,Express shipping was fast. Product was good
4149345,17707091,5," Good product quality Fast delivery Fast delivery Good product quality Fast delivery Excellent service by seller 
Thanks seller.. second purchase "
4149345,16742897,1,"Bought 2 sets, both give different n very wrong readings! Cannot calibrate so money wasted."
4149345,30004458,5,Delivery time acceptable. 100% legit product good quality RGB lights. Bright and good. Recommend! 
4149345,17708159,3,3 pcs of the dotting tool of each ends have the same size compared to the picture
4937640,54968233,3,Wrong color..
4937640,24088131,5, Good product quality Good product quality Fast delivery Excellent service by seller
4937640,24088127,5, Good product quality
4149345,60228533,3, Good Value
4937640,24088090,4,Bowl a bit too small! 
4149345,49780104,5," Excellent service by seller, and product is good quality 👌🏻"
4937640,19379090,5, Fast delivery Good product quality
4937640,19379090,5, Fast delivery
4149345,13431842,5,Good product quality
4149345,57201880,5, Excellent Overall Service
4149345,13433484,3,Received in good order.
4149345,16432294,3,received. .. after long long time...
4149345,66179935,0,Hi! Will a Samsung Note 5 fit in that VR box?
4937640,26495147,4,Cute. But brush was a bit too rough and stiff for my liking
4937640,16806891,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4937640,19379090,3,The product doesn't have Brush Egg embedded on it
4937640,24088111,5,Fast delivery and good product quality! ^^
4937640,19346757,2,looked a lot bigger and thicker than i expected
4937640,96340676,5, Good product quality
4937640,17703338,1," Very poor product quality
No pigment at all "
4937640,18981664,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4937640,18986068,3," Product quality is ok Delivery time as expected Service by seller is ok
"
4937640,155675738,5, Fast delivery &Good product quality👍🏼👍🏼👍🏼
4937640,115574611,0,@sg4801_46377 dear we are shipping from China
4937640,369621648,1,I nvr received it. ☹️
4149345,237464091,5, Good product quality
4149345,16426604,5, Fast delivery Good product quality
4149345,14479925,5,Item well received..
4937640,18982883,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4149345,46508845,5,2nd time order. Material is good to use as a light blanket.  Fast delivery
4937640,18986864,5, Good product quality 
4937640,85958022,5, Good product quality. Fast delivery.
4937640,18983179,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4149345,319049148,5," Good product quality  
Excellent service by seller"
4149345,14479774,5,received without any cracks or defects. well wrapped up in box & foam to protect :) good buy! 
4149345,14479774,5, Excellent Value
4149345,42089916,1," Very poor product quality, only the light works, not the mist. "
4149345,83799685,5, Excellent Item Quality Excellent Value
4937640,24095331,4,Product good but had a smell
4937640,18982883,4,Delivery took way too long.. 
4937640,24095270,0,"@oelleoeeling Thank you, welcome shopping here again~"
4149345,39575873,0,"@galerimartha dear ,  we have not the video , we can give the instruction to you "
4937640,19347989,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4937640,122561716,2,"Box was crushed, and quite a significant amount of the cream was squeezed out of the box. Seller didn't make an effort in wrapping it properly in foam wrap. However, at this price, I wasn't expecting an NinjaVan delivery. Hope the product works. "
4149345,238827837,5, Good product quality
4937640,51424522,0,Wow so nice..
4937640,24088098,2,Haven't try it but the thing fall off when I first open it ...
4149345,16430462,4, Good product quality
4937640,22564307,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4937640,18984937,5, Fast delivery and  Good product quality
4937640,19379090,5, Fast delivery Good product quality
4937640,40486880,5, Good product quality Fast delivery Excellent service by seller
4937640,206978872,5,"Good price. Yet to try the product, hope its good!"
4937640,323892755,5, Good product quality
4937640,104771400,5, Good product quality Fast delivery Excellent service by seller
4937640,194718064,5,"I love it, thank you. "
4149345,106452092,5," Fast delivery Good product quality
Very satisfied with it even it is a bit tight. But if it got the bra inside, it would be better."
4149345,16743040,0,Hi. How do I make an order
4937640,127478636,5, Good product quality Fast delivery
4149345,14480391,4,The glass is thinner than expected but still looks good
4937640,18985848,5,All came in great condition. Quality is superb for the price.  Fast delivery
4149345,16743208,0,@foochinmay any replacement?
4937640,155675738,5, Good product quality
4937640,40486731,5, Good product quality Good product quality
4149345,14483647,5,Superb nice item and seller.. ⭐⭐⭐🌟🌟🌟🌟
4937640,317670734,5, Good product quality. Great packaging!
4937640,24095331,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4937640,26495086,2,MirrOr damaged 
4149345,43856861,5, Good product quality Good product quality Fast delivery Excellent service by seller
4149345,42462741,5,Great overall experience! Highly recommended!
4937640,43302616,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4149345,26966656,5, Good product quality
4937640,26495075,5," Fast delivery, however product delivered as broken. I ordered 2pcs both has damage. Not recommendable. Although its cheap but some items are broken"
4149345,86742036,5, Good product quality Fast delivery
4937640,18986250,4,"Feels very cheap, but okay for the price Fast delivery"
4149345,60228404,5,Fast shipment
4937640,46524204,4, Fast delivery
4937640,318873493,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
4937640,26495075,2, Poor product quality Poor overall service
4937640,317670734,5, Excellent service by seller
