,shopid,itemid,rating_star,cmt
463,4149345,49780200,0,"@mazdali dear , It normally takes 5-10 days to arrive your address , but sometimes maybe a little delay because of the problem of the weather , the Customs or your address , you can contact with me in chats when you have not received your order for a long time , we will glad to help you , thanks and have a nice day :)"
465,4149345,237463508,4,"product works surprisingly! however, it has this weird smell but it is still good value for money 👍🏻"
466,4149345,60615417,2, Poor product quality
467,4149345,26966750,5,Most of the design is repeat and its abit hard to make design on the leather
469,4149345,42463218,5,Useless product :/ doesn't suck up much and it smells 
475,4149345,46508845,5,Fast shipping. Feel soft too
476,4149345,14476821,5,reccomended!
485,4149345,15250083,5,love the brushes! 
489,4937640,119025745,3,All is good. Just that the pin is not as friendly to be used in normal plugs
494,4149345,14481902,5,Item received in good condition! 
496,4149345,15735925,4,The material will curl out around your hips. Probably wont last more than 10 wears. But no complaints for the price!
497,4149345,49780104,1,the product is defected and seller don't care to reply in chart room. waste money and time.
501,4937640,18986739,1,did not receive two of my items. very disappointed  Very poor service by seller
502,4149345,15720119,0,@ltwong
508,4149345,15247472,0,Hi how big are the brushes? @shirleyaye @aizudnoorshyeight @delique
510,4149345,17708544,2, Poor Item Quality
511,4149345,56342278,3,Product quality is ok 
512,4149345,42089916,5,"Not tested yet..

Tested today.... 2 buttons. Left button controls light - no problem.... Right button should be ON OFF n the water is not moving n there is no mist... seems like a faulty thing??!! Waiting for seller to respond..."
519,4149345,14479020,0,"Hi , is the shipping cost for per item or per purchase from your shop?"
522,4937640,44160990,5,"Bad condition of the lipsticks received. I ordered 3 of them and when I opened the lid, the first lipstick dropped out of the cover. The whole lipstick was stuck to the lid of the cover. The second and third lipstick had dents and was smudged onto the lip cover. Disappointed in the condition. "
525,4149345,13426430,4,"Colour is pretty pigmented and is not drying :) despite the Low quality packaging, it's still a decent lipstick. "
529,4149345,60224188,5,Alittle smaller than what i have expected. But still works very well!
530,4149345,14481902,3,"Received in 13days with standard express.
Sponge was alot tiny than expected.
So it's basically a teeny mini blender 😂"
531,4937640,100428149,5,Real fun! 😊😊
532,4149345,42462741,1, Very poor product quality
535,4149345,16742186,3,Smalllzzzz what was i thinking...
536,4149345,15720530,5,Great and fast delivery!
539,4149345,19342438,5,The orange is too bright. What was i thinking hahah
541,4937640,289616207,5, Good value for money
543,4937640,17705128,5,Impressed with these lip liners. Only $2 per set ! Worth my 2 bucks.
544,4937640,18982883,3,Delivery time was very very long. Kinda regret topping up for the ‘faster option’ of shipping. 
547,4937640,35279652,4, Good product 
548,4937640,51425764,0,Does it work with normal nail polish?
550,4937640,100430497,5,Very cooperative 
551,4149345,237463508,0,5pcs
553,4149345,42463230,5,Item received in good condition. Quality looks good. Yet to try.
554,4937640,94479513,5,smaller than expected.
557,4937640,44467112,5,Excellent Delivery Speed
558,4937640,119025745,4,Cute ! Have yet to try to see if it works 
560,4149345,104216188,4, Product quality is ok Delivery time as expected Service by seller is ok
561,4149345,24119390,0,"Hi !, this is delivery 21 days ?"
565,4937640,127979848,1,"Broken . Smells like idk what . But ok. The wand slanted . Colour I thought nude , but like pink . Doesn't suit my face :("
566,4937640,18985414,5,Thx seller
571,4149345,361169630,5,"Item received in discreet packing, looks to be good condition n quality."
572,4149345,15720407,3, Good Value
573,4149345,70872745,5, Excellent Value
576,4149345,13433994,2,Didn't go well... no manual. White elephant!!
577,4937640,18983802,4,"seller is really nice and patient, when i ask about my items, however i think it would be better if all items were shipped all at once, but other than that, recommended!!"
578,4149345,15735466,5,Seller is fast in replying & processing of order.  Good.
579,4937640,19376409,5,Thx seller
581,4937640,282750352,1,Too fast battery exhausted
585,4937640,46523851,5," Excellent product  quality Excellent packaging Excellent seller service quality

SUPER GOOD "
588,4937640,95772647,5," Excellent product  quality Excellent packaging
yet to try"
589,4149345,15719640,0,@jigcabrillos
592,4937640,46523851,3,abit too watery for me but still decent for the amount of price i paid
593,4149345,49790560,1,Poor quality. Badly stitched.
595,4149345,84319878,1, Very poor product quality
596,4149345,14476821,0,May i know what standard express is like ? Cus i thought of buying it .
597,4937640,18980338,5,Thx
602,4937640,315187569,5, Excellent product  quality Excellent packaging
603,4937640,112156160,1,Not as good as expected. Suction isnt strong enough. 
606,4149345,19339134,4,"A bit late on the delivery, but overall it is okay 👍🏽 "
608,4937640,210159388,4,"i should have bought fb02 instead of fb03, but overall looks normal"
614,4937640,16812206,0,can i pay in peso? Pleaseee?
616,4149345,14479020,5,Cheap and good. Some of the rubber parts wasn't very well done but it works perfectly!
618,4937640,106020311,5,Item well received in good conditions 
621,4937640,17702687,5,fast delivery and happy with the items received. looking forward to shop again with seller in the future! :-)
622,4937640,127979848,4,"Smells a little like plasticine, but stays on the lips even after food. Minimal touchup "
623,4149345,16751961,1," Very poor product quality, item was spoilt, waste my money. 
"
625,4149345,15247463,5,"Came in a bubble wrap, good packaging and great product. Very good material and will purchase more items with buyer!"
626,4937640,127478636,5,There was a delay on the delivery but overall excellent service by seller. Quality was okay for the cheap price I can't complain much😊👍
628,4937640,100429280,1," Poor product quality,apply on face the facials hair non removable."
631,4937640,18983118,1,Not what I expected... 🙁
633,4937640,24088111,5,Recieved early and package was nicely wrapped! 
634,4149345,367219615,1,"Very poor product quality. Used on loose hard drive screw.. the claimed ""high quality precision telecommunications tools"" became twisted and the ""metals"" basically disintegrated within the first 3secs of use.. making it unusable even when it was supposed to be the right size for the right screw."
638,4149345,13432519,3,"Delivery considered fast, the speaker came in good condition, however, the suction cup for the speaker isnt that good as it keep falling off the wall, was quite impressed with durability of the speaker as it droped twice from quit a high ground. The blue tooth connection isnt that great as well"
642,4937640,24095270,5,Works perfectly!
644,4937640,16811382,0,"Hi, can i ask whether this item still in stock?"
650,4149345,26966542,5,Helpful seller
657,4149345,16431570,5,Lol... this is what it say 100pcs! Yes or No is on you. :)
662,4937640,19356482,5,Love my purchase! Affordable! Recommended Seller!!
667,4149345,34399378,5,Excellent service by seller. Replace broken item immediately. highly recommended.
673,4937640,16810329,5,just want to ask if where can we get the items we bought if we missed the suppossed day of delivery? 
674,4937640,26495790,5,Eventho I received it late but I really love the brushes!!
676,4149345,13432637,3,I can only give it 3 stars as there is a defect on the lamp. I hope you double check it in the future before delivering it out to customers.
677,4149345,42089916,1,"Both items are defective and cannot be used at all. I've ordered 6pcs in different orders. The only 2 managed to work fine. Photo shown is one of the defected item, the rest cannot be turned on. Still waiting for the seller to reply me."
679,4937640,127979848,5, Excellent service by seller
682,4937640,24095270,0,"@yujingjing sorry for the trouble, it may be caused by the shipment, if there is any problem, please contact us online~"
684,4149345,42089916,4,Box like crush before v bad condition but item is fine.
685,4937640,21273421,1, Very poor product quality
686,4149345,26966804,4,Received in good condition n product acceptable 
688,4149345,16429253,1,Not in good working condition. 
691,4149345,49780215,1, Very poor service by seller.Con seller. Oder 6 pcs of products but they only send 2 products. 
694,4937640,18983730,1,The eyeliner is very dry and only a little bit of ink came out
695,4149345,13433484,5,Item received in good condition~
697,4149345,14479774,5,Good packaging. But one of it is damaged
698,4149345,16751702,1,Shower cap broke before even using. 
700,4937640,51424522,0,😘
701,4937640,54968011,3, Product quality is ok
704,4149345,13433787,5,Item received in good condition~
705,4149345,49780104,5,Product took 25 days to be delivered. Item received in good condition. 😊 
706,4937640,19377585,4,G
711,4149345,14479514,5,This is good and will buy more! Able to detect current as long as it is not cover with metal ! 
712,4937640,17701309,5,Item receive in good condition!! Thanx alot babe!! I love it!!
715,4149345,60228441,5,Good quality. Delivery was ard 7 days
716,4149345,26966375,5,Item received in good condition~
718,4149345,13422342,0,"@sg6273_40980 If get damaged item, I will refund .tks"
719,4149345,15249017,5,Good packaging
721,4149345,15250829,0,Hi may I know how Long will it take for it to reach sg if I order today?
722,4149345,42462759,3,"Bought 2 pieces, one was working fine but the other one cannot be detected by my phone."
724,4149345,39575928,5,Item received in good condition~
726,4937640,18980941,5, Excellent service by seller. 
727,4149345,39575906,5,relatively fast considering the fact it's from overseas. good product. 
732,4149345,15736134,5,Thx seller
734,4149345,35945132,5,Good packaging
738,4149345,49790527,1,Size is too small... Large size is good for kids.
741,4937640,85958267,5,Excellent service by seller
743,4149345,35946086,5,Good packaging
750,4149345,106562811,5, Excellent service by seller
755,4149345,42089916,5, Excellent service by seller
757,4937640,46524220,3, Delivery time as expected
758,4149345,46508803,4, Product quality is ok
759,4149345,13433787,4,"Pretty good quality, it feels ""heavy"", not like cheap plastic. Some minor crack lines here and there, otherwise in good condition. "
760,4149345,60228462,3,Received but slow 
767,4937640,206979520,0,Can i contact u?
768,4149345,60226150,5,Love this! 
769,4149345,16443215,5, Excellent service by seller
771,4149345,46575093,4,"My fault for not noticing the ""8mm"" - the tapes are very small (but are 8mm, as specified!) 😂 The tapes look okay, some blemishes here and there - end of the tape is torn off rather than cut off, a little bit of dirt on the tape (which can be removed easily). Otherwise, in good condition."
772,4937640,24088111,5,Item is really pretty and is bubble wrapped! Efficient seller :) 
773,4149345,14479774,5,Item could be more well protected (was wrapped in few layers of foam wrap) but arrived in perfect condition. Delivery took about 10 days but that was expected. Would purchase this product again. 
776,4149345,185964127,1,Dint receive this 
779,4937640,24095331,5,"Slow delivery, item has not arrived. Has been waiting for more then 10 days and item is still not delivered due to wrong address. "
780,4149345,26966851,5, Excellent service by seller
783,4149345,71921352,5,The applicator is not a typical eyeliner brush but rather a hard tip of a felt pen. However it's not difficult to use and it's really waterproof and smudge proof after a day's use. Consistency of liquid is similar to diluted ink but can be layered to build on pigmentation. Would repurchase! :) 
786,4149345,42462720,5, Excellent Value
787,4149345,13430983,5, Good value for money
788,4937640,104771480,5,Super pigmented! Love it!! Cant wait to try it on! 
790,4149345,57850062,5, Excellent service by seller
791,4149345,15720386,0,"1 colour, or multiple colours?"
792,4937640,17705899,5,Have not tried product yet so no comments yet but delivery thumbs up
793,4937640,122561716,0,"@myraa5294 dear you can contact me on chat ,i will send a picture ti you about banking"
794,4149345,71922412,5,"Bristles are soft and in good condition, can be used as liquid foundation brush too :) "
797,4937640,17703698,0,"Hi, how long will it take to deliver to Singapore with standard express delivery?Qty: 10pcs"
798,4149345,86889199,0,Can i make enquiry if i can order just rhe black one?? Means the groom piece only without the set??
799,4937640,19372664,5,Delivery thumbs up
803,4149345,60226252,5, Excellent service by seller
805,4149345,14480472,5,Works perfectly fine! :-)
807,4149345,13423994,3,The width of the leather seems abit to big for the hook. Other than that the watch is not too bad.
809,4149345,237463508,0,"@lynnramos_27 ok , dear , thanks , we are hurry up to arrange your order and check everything okay before we ship it out. we will try our best to ship it as fast as we can. please wait patiently there, thank you very much"
810,4937640,17702644,3,"Registered post. Package was wrapped nicely, but the box was filled with so much glitter. Probably from the broken parts of the eyeshadow. Understand that it may happen, but I had hoped that it come in perfect condition as it was meant as a gift. "
814,4149345,14482239,3,Bought 4 boxes. 2 is fine. 2 of them is dented and scratched.
816,4149345,238809448,4,Items delivered in proper conditions and delivery was rather fast.
817,4937640,19379018,5,Have not used product yet...no comments but delivery thumbs up
819,4149345,13432745,1,Not a great product the lights are very dim compared to the other ones I bought here from other seller. Sensor spoilt. Will not recommend this product 
