,userid,shopid,itemid,rating,rating_star,comments
1723,14946943,11433632,80430125,0,0,Hello boss..harga goods to skal to kuantan
1745,11434932,11433632,177937622,0,0,"@nialovely hello,yes"
1748,17291904,11433632,173209079,0,0,pm
1749,20651453,11433632,118425805,0,0,Cutting mcm mna ni...straight cut ke?
1772,11434932,11433632,80430125,0,0,@ my8372_57264 How many pieces?
1774,22476234,11433632,118425805,0,0,Still have?
1791,33644186,11433632,394820606,0,0,Can i have the white one. I'm staying in Kl Ampang
1992,23874666,11433632,118425805,-1,1,Very poor product quality
2068,5138304,11433632,96068143,0,0,Hi..  May i know the measurements of m size?
2215,11434932,11433632,96676716,0,0,@anothernewgirl There is no 2XL for this coat.
2285,11434932,11433632,118425805,0,0,@ranronlee Straight cut.
2291,10124251,11433632,118425805,0,2,Low quality
2380,14260541,11433632,118425805,1,5,The heart is as good as the picture
2398,7872067,11433632,118425805,-1,1,Very poor product quality
2401,33100138,11433632,394820606,1,5,Excellent service by seller
2409,12603942,11433632,196623676,0,0,Hai boss what saiz this item have
2458,10529710,11433632,97976780,0,0,Preorder or ready stock ?
2502,32241995,11433632,394820606,0,0,I want this..pic no 6..size is M..kindly check w/ther available @ not?? Thnks
2557,11434932,11433632,96068143,0,0,you can buy in the shopee directly.
2568,23968343,11433632,118425805,-1,1,Very poor product quality
2576,15874029,11433632,118425805,0,0,Still available ?
2747,14955501,11433632,96068143,0,0,pm0178598055
2759,10860569,11433632,118425805,-1,1,Not same as picture Very poor product quality
2777,12136523,11433632,394820606,1,5,Poor product quality
2819,30354884,11433632,401667070,0,2,it's not real size.....xl too short..
3494,2793631,11433632,256916737,1,5,Excellent service by seller
3500,14955501,11433632,96068143,0,0,"if i wanna order ,hw?"
3533,4963446,11433632,116674551,-1,1,Very poor product quality
3550,17533686,11433632,118425805,1,5,Excellent service by seller
3648,18961894,11433632,185734370,0,0,Pm pelis
3824,12136523,11433632,394820606,-1,1,Very poor product quality
4050,13466303,11433632,96074966,0,0,S size..?
4112,7499564,11433632,401667070,0,2,To fit 
4174,16861449,11433632,118425805,0,0,Tiz ready stock @mdvision.my
4218,21281995,11433632,118425805,-1,1,Very poor product quality
4239,20738108,11433632,118425805,0,3,Product quality is ok
4403,40338276,11433632,394820606,0,0,Pm
4419,11434932,11433632,118425805,0,0,@amirasyraf507 please contact us via shopee.
4422,11434932,11433632,118425805,0,0,@adibomar83 please speak English?
4555,19248292,11433632,394820606,0,3,Product quality is ok
4773,19342434,11433632,118425805,-1,1,hmm
4782,11434932,11433632,190086708,0,0,@aponk501 please pay via shopee.
5218,26095358,11433632,118425805,0,0,Seriously buyer 01126283938
5241,25903842,11433632,118425805,0,3,Poor product quality
5253,11434932,11433632,116674551,0,0,@muhdsyazwi S M L XL.
5404,5138304,11433632,96068143,0,0,In pic is what size?
5450,16629531,11433632,154329116,0,0,Hi brpa lma blh smpai sbah ni ar?
5466,11434932,11433632,118425805,0,0,@esammuthanna Thanks
5711,11434932,11433632,115549001,0,0,@levis.dbrutalz yes.
5751,17317647,11433632,118425805,1,5,poor product quality
5810,7106927,11433632,96676716,0,0,Hi I want to buy if I want this when can delivery?
